sample-id	fish_S_ID	fh_fz	fish_species	washed
ext-BL-T1	ext-BL	blank	blank	blank
ext-BL-T2	ext-BL	blank	blank	blank
FH-CA-01-T1	FH-CA-01	fresh	C_anomalum	yes
FH-CA-01-T2	FH-CA-01	fresh	C_anomalum	yes
FH-CA-02-T1	FH-CA-02	fresh	C_anomalum	yes
FH-CA-02-T2	FH-CA-02	fresh	C_anomalum	yes
FH-CA-03-T1	FH-CA-03	fresh	C_anomalum	yes
FH-CA-03-T2	FH-CA-03	fresh	C_anomalum	yes
FH-CA-04-T1	FH-CA-04	fresh	C_anomalum	yes
FH-CA-04-T2	FH-CA-04	fresh	C_anomalum	yes
FH-CA-05-T1	FH-CA-05	fresh	C_anomalum	yes
FH-CA-05-T2	FH-CA-05	fresh	C_anomalum	yes
FH-CA-06-T1	FH-CA-06	fresh	C_anomalum	yes
FH-CA-06-T2	FH-CA-06	fresh	C_anomalum	yes
FH-CA-07-T1	FH-CA-07	fresh	C_anomalum	yes
FH-CA-07-T2	FH-CA-07	fresh	C_anomalum	yes
FH-CA-08-T1	FH-CA-08	fresh	C_anomalum	yes
FH-CA-08-T2	FH-CA-08	fresh	C_anomalum	yes
FH-EC-01-T1	FH-EC-01	fresh	E_caeruleum	yes
FH-EC-01-T2	FH-EC-01	fresh	E_caeruleum	yes
FH-EC-02-T1	FH-EC-02	fresh	E_caeruleum	yes
FH-EC-02-T2	FH-EC-02	fresh	E_caeruleum	yes
FH-EC-03-T1	FH-EC-03	fresh	E_caeruleum	yes
FH-EC-03-T2	FH-EC-03	fresh	E_caeruleum	yes
FH-EC-04-T1	FH-EC-04	fresh	E_caeruleum	yes
FH-EC-04-T2	FH-EC-04	fresh	E_caeruleum	yes
FH-EC-05-T1	FH-EC-05	fresh	E_caeruleum	yes
FH-EC-05-T2	FH-EC-05	fresh	E_caeruleum	yes
FH-EC-06-T1	FH-EC-06	fresh	E_caeruleum	yes
FH-EC-06-T2	FH-EC-06	fresh	E_caeruleum	yes
FH-EC-07-T1	FH-EC-07	fresh	E_caeruleum	yes
FH-EC-07-T2	FH-EC-07	fresh	E_caeruleum	yes
FH-EC-08-T1	FH-EC-08	fresh	E_caeruleum	yes
FH-EC-08-T2	FH-EC-08	fresh	E_caeruleum	yes
FH-EC-09-T1	FH-EC-09	fresh	E_caeruleum	yes
FH-EC-09-T2	FH-EC-09	fresh	E_caeruleum	yes
FH-EC-10-T1	FH-EC-10	fresh	E_caeruleum	yes
FH-EC-10-T2	FH-EC-10	fresh	E_caeruleum	yes
FH-EC-11-T1	FH-EC-11	fresh	E_caeruleum	no
FH-EC-11-T2	FH-EC-11	fresh	E_caeruleum	no
FH-EC-12-T1	FH-EC-12	fresh	E_caeruleum	no
FH-EC-12-T2	FH-EC-12	fresh	E_caeruleum	no
FH-EC-13-T1	FH-EC-13	fresh	E_caeruleum	no
FH-EC-13-T2	FH-EC-13	fresh	E_caeruleum	no
FH-EC-14-T1	FH-EC-14	fresh	E_caeruleum	no
FH-EC-14-T2	FH-EC-14	fresh	E_caeruleum	no
FZ-CA-01-T1	FZ-CA-01	frozen	C_anomalum	yes
FZ-CA-01-T2	FZ-CA-01	frozen	C_anomalum	yes
FZ-CA-02-T1	FZ-CA-02	frozen	C_anomalum	yes
FZ-CA-02-T2	FZ-CA-02	frozen	C_anomalum	yes
FZ-CA-03-T1	FZ-CA-03	frozen	C_anomalum	yes
FZ-CA-03-T2	FZ-CA-03	frozen	C_anomalum	yes
FZ-CA-04-T1	FZ-CA-04	frozen	C_anomalum	yes
FZ-CA-04-T2	FZ-CA-04	frozen	C_anomalum	yes
FZ-CA-05-T1	FZ-CA-05	frozen	C_anomalum	yes
FZ-CA-05-T2	FZ-CA-05	frozen	C_anomalum	yes
FZ-CA-06-T1	FZ-CA-06	frozen	C_anomalum	yes
FZ-CA-06-T2	FZ-CA-06	frozen	C_anomalum	yes
FZ-CA-07-T1	FZ-CA-07	frozen	C_anomalum	yes
FZ-CA-07-T2	FZ-CA-07	frozen	C_anomalum	yes
FZ-CA-08-T1	FZ-CA-08	frozen	C_anomalum	yes
FZ-CA-08-T2	FZ-CA-08	frozen	C_anomalum	yes
FZ-EC-01-T1	FZ-EC-01	frozen	E_caeruleum	yes
FZ-EC-01-T2	FZ-EC-01	frozen	E_caeruleum	yes
FZ-EC-02-T1	FZ-EC-02	frozen	E_caeruleum	yes
FZ-EC-02-T2	FZ-EC-02	frozen	E_caeruleum	yes
FZ-EC-03-T1	FZ-EC-03	frozen	E_caeruleum	yes
FZ-EC-03-T2	FZ-EC-03	frozen	E_caeruleum	yes
FZ-EC-04-T1	FZ-EC-04	frozen	E_caeruleum	yes
FZ-EC-04-T2	FZ-EC-04	frozen	E_caeruleum	yes
FZ-EC-05-T1	FZ-EC-05	frozen	E_caeruleum	yes
FZ-EC-05-T2	FZ-EC-05	frozen	E_caeruleum	yes
FZ-EC-06-T1	FZ-EC-06	frozen	E_caeruleum	yes
FZ-EC-06-T2	FZ-EC-06	frozen	E_caeruleum	yes
FZ-EC-07-T1	FZ-EC-07	frozen	E_caeruleum	yes
FZ-EC-07-T2	FZ-EC-07	frozen	E_caeruleum	yes
FZ-EC-08-T1	FZ-EC-08	frozen	E_caeruleum	yes
FZ-EC-08-T2	FZ-EC-08	frozen	E_caeruleum	yes
FZ-EC-09-T1	FZ-EC-09	frozen	E_caeruleum	yes
FZ-EC-09-T2	FZ-EC-09	frozen	E_caeruleum	yes
FZ-EC-10-T1	FZ-EC-10	frozen	E_caeruleum	yes
FZ-EC-10-T2	FZ-EC-10	frozen	E_caeruleum	yes
FZ-EC-11-T1	FZ-EC-11	frozen	E_caeruleum	no
FZ-EC-11-T2	FZ-EC-11	frozen	E_caeruleum	no
FZ-EC-12-T1	FZ-EC-12	frozen	E_caeruleum	no
FZ-EC-12-T2	FZ-EC-12	frozen	E_caeruleum	no
FZ-EC-13-T1	FZ-EC-13	frozen	E_caeruleum	no
FZ-EC-13-T2	FZ-EC-13	frozen	E_caeruleum	no
FZ-EC-14-T1	FZ-EC-14	frozen	E_caeruleum	no
FZ-EC-14-T2	FZ-EC-14	frozen	E_caeruleum	no
FZ-EC-15-T1	FZ-EC-15	frozen	E_caeruleum	no
FZ-EC-15-T2	FZ-EC-15	frozen	E_caeruleum	no
PCR-BL-1-T1	PCR-BL-1	blank	blank	blank
PCR-BL-1-T2	PCR-BL-1	blank	blank	blank
PCR-BL-2-T1	PCR-BL-2	blank	blank	blank
PCR-BL-2-T2	PCR-BL-2	blank	blank	blank